node_id,r_m,z_m,T_K
0,0,-0.02,300
1,0.005,-0.02,300
2,0.01,-0.02,300
3,0.015,-0.02,300
4,0.02,-0.02,300
5,0.025,-0.02,300
6,0.03,-0.02,300
7,0.035,-0.02,300
8,0.04,-0.02,300
9,0.045,-0.02,300
10,0.05,-0.02,300
11,0.055,-0.02,300
12,0.06,-0.02,300
13,0.065,-0.02,300
14,0.07,-0.02,300
15,0,-0.015,301.3684639
16,0.005,-0.015,301.3666326
17,0.01,-0.015,301.3607299
18,0.015,-0.015,301.3500875
19,0.02,-0.015,301.3334174
20,0.025,-0.015,301.3089088
21,0.03,-0.015,301.2738767
22,0.035,-0.015,301.2247265
23,0.04,-0.015,301.1583591
24,0.045,-0.015,301.0718128
25,0.05,-0.015,300.9649699
26,0.055,-0.015,300.8363539
27,0.06,-0.015,300.6683179
28,0.065,-0.015,300.4248097
29,0.07,-0.015,300
30,0,-0.01,302.3370422
31,0.005,-0.01,302.3351185
32,0.01,-0.01,302.3237831
33,0.015,-0.01,302.3045639
34,0.02,-0.01,302.2731959
35,0.025,-0.01,302.2281065
36,0.03,-0.01,302.1617324
37,0.035,-0.01,302.0698658
38,0.04,-0.01,301.938021
39,0.045,-0.01,301.7711701
40,0.05,-0.01,301.5511735
41,0.055,-0.01,301.3138466
42,0.06,-0.01,301.0220898
43,0.065,-0.01,300.6167498
44,0.07,-0.01,300
45,0,-0.005,302.9154641
46,0.005,-0.005,302.9112868
47,0.01,-0.005,302.8977836
48,0.015,-0.005,302.8718456
49,0.02,-0.005,302.8314229
50,0.025,-0.005,302.7713727
51,0.03,-0.005,302.6847941
52,0.035,-0.005,302.5596738
53,0.04,-0.005,302.3838688
54,0.045,-0.005,302.1194715
55,0.05,-0.005,301.7890471
56,0.055,-0.005,301.4499606
57,0.06,-0.005,301.0995525
58,0.065,-0.005,300.6530931
59,0.07,-0.005,300
60,0,0,303.0868964
61,0.005,0,303.1014522
62,0.01,0,303.0835265
63,0.015,0,303.0598159
64,0.02,0,303.0111017
65,0.025,0,302.9507911
66,0.03,0,302.8506626
67,0.035,0,302.7194431
68,0.04,0,302.5044626
69,0.045,0,302.2176393
70,0.05,0,301.5781907
71,0.055,0,301.2159903
72,0.06,0,300.9070816
73,0.065,0,300.5124174
74,0.07,0,300
75,0,0.005,302.6767959
76,0.005,0.005,302.6696392
77,0.01,0.005,302.6469195
78,0.015,0.005,302.60523
79,0.02,0.005,302.5416942
80,0.025,0.005,302.4501651
81,0.03,0.005,302.3214352
82,0.035,0.005,302.1406659
83,0.04,0.005,301.8846398
84,0.045,0.005,301.5037979
85,0.05,0.005,300.9209008
86,0.055,0.005,300.8297799
87,0.06,0.005,300.6086728
88,0.065,0.005,300.3248236
89,0.07,0.005,300
90,0,0.01,302.2777013
91,0.005,0.01,302.2699918
92,0.01,0.01,302.2407456
93,0.015,0.01,302.1909421
94,0.02,0.01,302.1148468
95,0.025,0.01,302.0090644
96,0.03,0.01,301.8629746
97,0.035,0.01,301.667466
98,0.04,0.01,301.4024371
99,0.045,0.01,301.0495245
100,0.05,0.01,300.6080348
101,0.055,0.01,300.5423142
102,0.06,0.01,300.4073605
103,0.065,0.01,300.2140395
104,0.07,0.01,300
105,0,0.015,301.9178337
106,0.005,0.015,301.9077052
107,0.01,0.015,301.8761906
108,0.015,0.015,301.8218202
109,0.02,0.015,301.741348
110,0.025,0.015,301.6306713
111,0.03,0.015,301.483495
112,0.035,0.015,301.2924265
113,0.04,0.015,301.0488807
114,0.045,0.015,300.7479389
115,0.05,0.015,300.3927284
116,0.055,0.015,300.3586931
117,0.06,0.015,300.2679047
118,0.065,0.015,300.1409204
119,0.07,0.015,300
120,0,0.02,301.597344
121,0.005,0.02,301.5871139
122,0.01,0.02,301.555126
123,0.015,0.02,301.5006198
124,0.02,0.02,301.4210452
125,0.025,0.02,301.3138178
126,0.03,0.02,301.1749629
127,0.035,0.02,301.0009063
128,0.04,0.02,300.7889897
129,0.045,0.02,300.539087
130,0.05,0.02,300.2600809
131,0.055,0.02,300.236123
132,0.06,0.02,300.1770913
133,0.065,0.02,300.0929229
134,0.07,0.02,300
135,0,0.025,301.3187356
136,0.005,0.025,301.3087285
137,0.01,0.025,301.2781173
138,0.015,0.025,301.2262434
139,0.02,0.025,301.1516521
140,0.025,0.025,301.0527817
141,0.03,0.025,300.9278217
142,0.035,0.025,300.7755336
143,0.04,0.025,300.5961008
144,0.045,0.025,300.3923356
145,0.05,0.025,300.170567
146,0.055,0.025,300.1559404
147,0.06,0.025,300.1166614
148,0.065,0.025,300.0613106
149,0.07,0.025,300
150,0,0.03,301.0801718
151,0.005,0.03,301.0709055
152,0.01,0.03,301.042747
153,0.015,0.03,300.9953683
154,0.02,0.03,300.9280525
155,0.025,0.03,300.8401641
156,0.03,0.03,300.7312742
157,0.035,0.03,300.6015494
158,0.04,0.03,300.4527599
159,0.045,0.03,300.2878627
160,0.05,0.03,300.1142525
161,0.055,0.03,300.1031392
162,0.06,0.03,300.0772325
163,0.065,0.03,300.0405133
164,0.07,0.03,300
165,0,0.035,300.8788297
166,0.005,0.035,300.8705064
167,0.01,0.035,300.84542
168,0.015,0.035,300.8034491
169,0.02,0.035,300.7444357
170,0.025,0.035,300.6683531
171,0.03,0.035,300.575598
172,0.035,0.035,300.4671297
173,0.04,0.035,300.3450727
174,0.045,0.035,300.2128364
175,0.05,0.035,300.0749574
176,0.055,0.035,300.0684361
177,0.06,0.035,300.0510651
178,0.065,0.035,300.0268167
179,0.07,0.035,300
180,0,0.04,300.7107815
181,0.005,0.04,300.7035062
182,0.01,0.04,300.6817045
183,0.015,0.04,300.6454128
184,0.02,0.04,300.5948256
185,0.025,0.04,300.5302871
186,0.03,0.04,300.4526523
187,0.035,0.04,300.3631655
188,0.04,0.04,300.264197
189,0.045,0.04,300.1584203
190,0.05,0.04,300.0512054
191,0.055,0.04,300.045547
192,0.06,0.04,300.034028
193,0.065,0.04,300.0178063
194,0.07,0.04,300
195,0,0.045,300.5718239
196,0.005,0.045,300.5655943
197,0.01,0.045,300.547021
198,0.015,0.045,300.5162331
199,0.02,0.045,300.4736239
200,0.025,0.045,300.4197354
201,0.03,0.045,300.3555939
202,0.035,0.045,300.2825612
203,0.04,0.045,300.202708
204,0.045,0.045,300.1187227
205,0.05,0.045,300.0334831
206,0.055,0.045,300.030487
207,0.06,0.045,300.0226269
208,0.065,0.045,300.0118636
209,0.07,0.045,300
210,0,0.05,300.4577432
211,0.005,0.05,300.4525015
212,0.01,0.05,300.4369376
213,0.015,0.05,300.4112284
214,0.02,0.05,300.3758589
215,0.025,0.05,300.3314413
216,0.03,0.05,300.2790447
217,0.035,0.05,300.2199347
218,0.04,0.05,300.156086
219,0.045,0.05,300.0894085
220,0.05,0.05,300.0236068
221,0.055,0.05,300.0204868
222,0.06,0.05,300.015248
223,0.065,0.05,300.007942
224,0.07,0.05,300
225,0,0.055,300.3645724
226,0.005,0.055,300.3602264
227,0.01,0.055,300.3473658
228,0.015,0.055,300.3261838
229,0.02,0.055,300.2971831
230,0.025,0.055,300.2609776
231,0.03,0.055,300.218563
232,0.035,0.055,300.1711107
233,0.04,0.055,300.1201926
234,0.045,0.055,300.0676914
235,0.05,0.055,300.0153336
236,0.055,0.055,300.013899
237,0.06,0.055,300.0102237
238,0.065,0.055,300.0053462
239,0.07,0.055,300
240,0,0.06,300.2887364
241,0.005,0.06,300.2851807
242,0.01,0.06,300.2746902
243,0.015,0.06,300.2574527
244,0.02,0.06,300.2339478
245,0.025,0.06,300.2047411
246,0.03,0.06,300.1707333
247,0.035,0.06,300.1329104
248,0.04,0.06,300.0926937
249,0.045,0.06,300.0513356
250,0.05,0.06,300.0113351
251,0.055,0.06,300.0094638
252,0.06,0.06,300.0070012
253,0.065,0.06,300.0036206
254,0.07,0.06,300
255,0,0.065,300.2270603
256,0.005,0.065,300.2241904
257,0.01,0.065,300.2157407
258,0.015,0.065,300.2018857
259,0.02,0.065,300.1830548
260,0.025,0.065,300.1597503
