node_id,r_m,z_m,T_K
0,0,0,300
1,0.005,0,300
2,0.01,0,300
3,0.015,0,300
4,0.02,0,300
5,0.025,0,300
6,0.03,0,300
7,0.035,0,300
8,0.04,0,300
9,0.045,0,300
10,0.05,0,300
11,0.055,0,300
12,0.06,0,300
13,0.065,0,300
14,0.07,0,300
15,0.075,0,300
16,0.08,0,300
17,0.085,0,300
18,0.09,0,300
19,0.095,0,300
20,0.1,0,300
21,0.105,0,300
22,0.11,0,300
23,0.115,0,300
24,0.12,0,300
25,0,0.005,300.0029019
26,0.005,0.005,300.0028924
27,0.01,0.005,300.002769
28,0.015,0.005,300.0026641
29,0.02,0.005,300.0025133
30,0.025,0.005,300.0023763
31,0.03,0.005,300.0022041
32,0.035,0.005,300.0020416
33,0.04,0.005,300.0018547
34,0.045,0.005,300.0016853
35,0.05,0.005,300.0015079
36,0.055,0.005,300.0013571
37,0.06,0.005,300.0012094
38,0.065,0.005,300.0010884
39,0.07,0.005,300.0009716
40,0.075,0.005,300.0008747
41,0.08,0.005,300.0007782
42,0.085,0.005,300.0006936
43,0.09,0.005,300.0006045
44,0.095,0.005,300.0005182
45,0.1,0.005,300.0004225
46,0.105,0.005,300.0003214
47,0.11,0.005,300.0002122
48,0.115,0.005,300.0001051
49,0.12,0.005,300
50,0,0.01,300.007057
51,0.005,0.01,300.0057434
52,0.01,0.01,300.005945
53,0.015,0.01,300.0052486
54,0.02,0.01,300.0053274
55,0.025,0.01,300.0046789
56,0.03,0.01,300.0046654
57,0.035,0.01,300.0040153
58,0.04,0.01,300.0039083
59,0.045,0.01,300.0033051
60,0.05,0.01,300.003154
61,0.055,0.01,300.0026534
62,0.06,0.01,300.0025176
63,0.065,0.01,300.0021257
64,0.07,0.01,300.0020231
65,0.075,0.01,300.0017099
66,0.08,0.01,300.0016258
67,0.085,0.01,300.0013594
68,0.09,0.01,300.0012716
69,0.095,0.01,300.0010229
70,0.1,0.01,300.0008946
71,0.105,0.01,300.0006445
72,0.11,0.01,300.0004372
73,0.115,0.01,300.0002102
74,0.12,0.01,300
75,0,0.015,300.0094074
76,0.005,0.015,300.0093986
77,0.01,0.015,300.0084647
78,0.015,0.015,300.0082398
79,0.02,0.015,300.0076496
80,0.025,0.015,300.0073449
81,0.03,0.015,300.006704
82,0.035,0.015,300.006285
83,0.04,0.015,300.0055971
84,0.045,0.015,300.0051285
85,0.05,0.015,300.0044885
86,0.055,0.015,300.0040796
87,0.06,0.015,300.00357
88,0.065,0.015,300.0032593
89,0.07,0.015,300.0028714
90,0.075,0.015,300.0026291
91,0.08,0.015,300.0023129
92,0.085,0.015,300.0021047
93,0.09,0.015,300.0018216
94,0.095,0.015,300.0016047
95,0.1,0.015,300.001322
96,0.105,0.015,300.0010177
97,0.11,0.015,300.0006438
98,0.115,0.015,300.0003178
99,0.12,0.015,300
100,0,0.02,300.0276252
101,0.005,0.02,300.011755
102,0.01,0.02,300.0149337
103,0.015,0.02,300.0096467
104,0.02,0.02,300.0134089
105,0.025,0.02,300.0085976
106,0.03,0.02,300.0117622
107,0.035,0.02,300.0073501
108,0.04,0.02,300.0096867
109,0.045,0.02,300.0059777
110,0.05,0.02,300.0075653
111,0.055,0.02,300.0047371
112,0.06,0.02,300.0059281
113,0.065,0.02,300.0037798
114,0.07,0.02,300.004787
115,0.075,0.02,300.0030521
116,0.08,0.02,300.003892
117,0.085,0.02,300.0024499
118,0.09,0.02,300.0031331
119,0.095,0.02,300.0018777
120,0.1,0.02,300.0023164
121,0.105,0.02,300.0013343
122,0.11,0.02,300.0008998
123,0.115,0.02,300.0004192
124,0.12,0.02,300
125,0,0.025,343.6016493
126,0.005,0.025,343.5683684
127,0.01,0.025,343.4522794
128,0.015,0.025,343.2381835
129,0.02,0.025,342.8778968
130,0.025,0.025,342.3118456
131,0.03,0.025,341.4343814
132,0.035,0.025,340.1260121
133,0.04,0.025,338.2360057
134,0.045,0.025,335.6651395
135,0.05,0.025,332.4020254
136,0.055,0.025,328.6011445
137,0.06,0.025,324.5432698
138,0.065,0.025,320.5105743
139,0.07,0.025,316.6976967
140,0.075,0.025,313.2057344
141,0.08,0.025,310.047594
142,0.085,0.025,307.1986945
143,0.09,0.025,304.6093041
144,0.095,0.025,302.2279707
145,0.1,0.025,300.0019679
146,0.105,0.025,300.0016645
147,0.11,0.025,300.0010399
148,0.115,0.025,300.0005174
149,0.12,0.025,300
150,0,0.03,387.3292803
151,0.005,0.03,387.2700816
152,0.01,0.03,387.0689186
153,0.015,0.03,386.6931512
154,0.02,0.03,386.0590586
155,0.025,0.03,385.050059
156,0.03,0.03,383.4698305
157,0.035,0.03,381.040311
158,0.04,0.03,377.4706698
159,0.045,0.03,372.3503375
160,0.05,0.03,365.7928221
161,0.055,0.03,357.793106
162,0.06,0.03,349.4138715
163,0.065,0.03,341.0718352
164,0.07,0.03,333.3265436
165,0.075,0.03,326.2847267
166,0.08,0.03,319.9686008
167,0.085,0.03,314.2921746
168,0.09,0.03,309.1463049
169,0.095,0.03,304.4187498
170,0.1,0.03,300.0035021
171,0.105,0.03,300.001918
172,0.11,0.03,300.0013069
173,0.115,0.03,300.0006039
174,0.12,0.03,300
175,0,0.035,431.2970982
176,0.005,0.035,431.2296487
177,0.01,0.035,430.9940585
178,0.015,0.035,430.5540054
179,0.02,0.035,429.80153
180,0.025,0.035,428.5937015
181,0.03,0.035,426.6405518
182,0.035,0.035,423.5696193
183,0.04,0.035,418.6861294
184,0.045,0.035,411.3858155
185,0.05,0.035,401.0780615
186,0.055,0.035,388.3559671
187,0.06,0.035,374.7513093
188,0.065,0.035,361.6873628
189,0.07,0.035,349.720724
190,0.075,0.035,339.0765958
191,0.08,0.035,329.6158139
192,0.085,0.035,321.1707148
193,0.09,0.035,313.5382246
194,0.095,0.035,306.5381692
195,0.1,0.035,300.0025944
196,0.105,0.035,300.0021968
197,0.11,0.035,300.0013758
198,0.115,0.035,300.0006867
199,0.12,0.035,300
200,0,0.04,475.5451181
201,0.005,0.04,475.4878149
202,0.01,0.04,475.2806014
203,0.015,0.04,474.8932216
204,0.02,0.04,474.223799
205,0.025,0.04,473.1314794
206,0.03,0.04,471.3302827
207,0.035,0.04,468.3246331
208,0.04,0.04,463.3973238
209,0.045,0.04,454.2195085
210,0.05,0.04,441.2826198
211,0.055,0.04,420.5517337
212,0.06,0.04,400.9439784
213,0.065,0.04,381.9810716
214,0.07,0.04,365.6295092
215,0.075,0.04,351.3254365
216,0.08,0.04,338.8099768
217,0.085,0.04,327.7053443
218,0.09,0.04,317.7061296
219,0.095,0.04,308.5479828
220,0.1,0.04,300.0041789
221,0.105,0.04,300.0023654
222,0.11,0.04,300.0016269
223,0.115,0.04,300.0007567
224,0.12,0.04,300
225,0,0.045,520.0424859
226,0.005,0.045,520.0081636
227,0.01,0.045,519.8882831
228,0.015,0.045,519.6610384
229,0.02,0.045,519.2646089
230,0.025,0.045,518.6128044
231,0.03,0.045,517.4869266
232,0.035,0.045,515.5904065
233,0.04,0.045,511.8572604
234,0.045,0.045,505.0669548
235,0.05,0.045,486.4971346
236,0.055,0.045,456.667219
237,0.06,0.045,425.8398658
238,0.065,0.045,401.2996114
239,0.07,0.045,380.4145319
240,0.075,0.045,362.7005291
241,0.08,0.045,347.3221857
242,0.085,0.045,333.7575062
243,0.09,0.045,321.5664075
244,0.095,0.045,310.4104567
245,0.1,0.045,300.0030851
246,0.105,0.045,300.0026217
247,0.11,0.045,300.0016571
248,0.115,0.045,300.0008295
249,0.12,0.045,300
250,0,0.05,564.6617944
251,0.005,0.05,564.6832706
252,0.01,0.05,564.6779867
253,0.015,0.05,564.6839719
254,0.02,0.05,564.6764472
255,0.025,0.05,564.6809984
256,0.03,0.05,564.6724625
257,0.035,0.05,564.6761464
258,0.04,0.05,564.6663841
259,0.045,0.05,564.6697829
260,0.05,0.05,564.6554819
261,0.055,0.05,489.1407844
262,0.06,0.05,449.8005462
263,0.065,0.05,418.2850111
264,0.07,0.05,393.6305151
265,0.075,0.05,372.8274741
266,0.08,0.05,354.9507039
267,0.085,0.05,339.196774
268,0.09,0.05,325.0465524
269,0.095,0.05,312.0917769
270,0.1,0.05,300.0048503
271,0.105,0.05,300.0027735
272,0.11,0.05,300.0019126
273,0.115,0.05,300.0008926
274,0.12,0.05,300
275,0,0.055,564.6866748
276,0.005,0.055,564.6864098
277,0.01,0.055,564.6869164
278,0.015,0.055,564.6858868
279,0.02,0.055,564.6848749
280,0.025,0.055,564.6828611
281,0.03,0.055,564.6809032
282,0.035,0.055,564.6779685
283,0.04,0.055,564.6753287
284,0.045,0.055,564.6712911
285,0.05,0.055,564.6697973
286,0.055,0.055,508.5418864
287,0.06,0.055,464.9626037
288,0.065,0.055,431.7317298
289,0.07,0.055,404.408758
290,0.075,0.055,381.4133541
291,0.08,0.055,361.5068872
292,0.085,0.055,343.9244854
293,0.09,0.055,328.0887106
294,0.095,0.055,313.5670175
295,0.1,0.055,300.0035765
296,0.105,0.055,300.0030402
297,0.11,0.055,300.001923
298,0.115,0.055,300.0009629
299,0.12,0.055,300
300,0,0.06,564.6895435
301,0.005,0.06,564.6911249
302,0.01,0.06,564.6901014
303,0.015,0.06,564.6898641
304,0.02,0.06,564.6879971
305,0.025,0.06,564.686746
306,0.03,0.06,564.6839377
307,0.035,0.06,564.6818447
308,0.04,0.06,564.6777835
309,0.045,0.06,564.6753533
310,0.05,0.06,564.6663324
311,0.055,0.06,516.2001247
312,0.06,0.06,475.5961655
313,0.065,0.06,441.4480732
314,0.07,0.06,412.8837056
315,0.075,0.06,388.3559044
316,0.08,0.06,366.9428293
317,0.085,0.06,347.8970639
318,0.09,0.06,330.6687763
319,0.095,0.06,314.8237809
320,0.1,0.06,300.0056081
321,0.105,0.06,300.0031879
322,0.11,0.06,300.0021952
323,0.115,0.06,300.0010232
324,0.12,0.06,300
325,0,0.065,564.6946317
326,0.005,0.065,564.6944197
327,0.01,0.065,564.6939332
328,0.015,0.065,564.6929624
329,0.02,0.065,564.6916096
330,0.025,0.065,564.689764
331,0.03,0.065,564.6875451
332,0.035,0.065,564.684798
333,0.04,0.065,564.6818975
334,0.045,0.065,564.6780015
335,0.05,0.065,564.6762613
336,0.055,0.065,520.5474437
337,0.06,0.065,481.7844504
338,0.065,0.065,448.2314599
339,0.07,0.065,419.1484668
340,0.075,0.065,393.7562406
341,0.08,0.065,371.2822201
342,0.085,0.065,351.1277941
343,0.09,0.065,332.7891667
344,0.095,0.065,315.8632769
345,0.1,0.065,300.0040705
346,0.105,0.065,300.0034558
347,0.11,0.065,300.0021791
348,0.115,0.065,300.0010901
349,0.12,0.065,300
350,0,0.07,564.6974522
351,0.005,0.07,564.6974046
352,0.01,0.07,564.6967642
353,0.015,0.07,564.6958292
354,0.02,0.07,564.6943623
355,0.025,0.07,564.6925676
